"","none","org.alternate_names","org.place_of_headquarters","org.subsidiaries","per.cause_of_death","per.charges","per.children","per.employee_or_member_of","per.founded_org","per.origin","per.place_of_birth","per.place_of_death","per.places_of_residence","per.schools_attended","per.spouse","per.title","per.top_member_employee_of_org"
"none",1,-0.156763166851017,0.53946421652737,0.511254019292605,-0.403465346534653,0.00913621262458476,-0.151765815189439,-0.303978949439308,-0.521308729850166,-0.654331487131513,-1.01701427003293,-0.247367174548038,0.0596960167714883,-0.107940198003928,-0.0575154353842879,0.191423678572251,-0.304187451112109
"org.alternate_names",-0.0203703550145389,1,-0.0419091786236733,0.170809531161546,-0.0709563684442486,-0.0526000677490763,-0.0513098339365716,-0.0945834351407107,-0.0654936768517791,-0.0871380746722547,-0.0765069551777434,-0.0721003134796238,-0.114779589371981,-0.0706760316066725,-0.0424315084209077,0.197731016613826,-0.0962196730047895
"org.place_of_headquarters",0.0775017195656755,-0.0463343713976016,1,-0.0137029125201896,-0.0790408525754885,-0.0806159420289855,-0.0785871964679912,-0.0303578774167009,-0.0658638097197386,-0.0197998700982382,-0.0565183652353854,-0.0376848546659867,0.0281811894882434,-0.00620996634458799,-0.0792873051224944,-0.0803611738148984,-0.0167206040992449
"org.subsidiaries",0.0280591390733633,0.0721431560185412,-0.00523482051333088,1,-0.0287891617273497,-0.000952402548810631,-0.0286315789473684,-0.0273265968607689,0.0604160729552579,-0.0286976360370856,-0.0334645669291339,-0.0292347377472055,-0.039013098464318,-0.0286798819063686,-0.0288747346072187,-0.029247311827957,-0.0252865515052671
"per.cause_of_death",-0.0227946523465906,-0.0308505949757602,-0.0310834813499112,-0.0296359017781541,1,-0.00181566464673975,-0.0294985250737463,-0.0434207793803216,-0.0306345733041575,-0.0346833743566793,-0.0344827586206897,0.496424063946151,-0.0476190476190476,-0.0295483326298016,-0.0297492562685933,-0.0301334481274214,-0.044749420459501
"per.charges",0.000840620047782616,-0.0372447684682901,-0.0516304347826087,-0.00159667486124135,-0.00295693956754759,1,-0.0489480463718334,-0.0586019267453456,-0.0200599032332386,-0.0543592907321539,-0.0542274786109713,-0.0396383578867263,-0.0705654553924994,-0.0490322580645161,-0.0352954404902457,0.0216760288141552,-0.0573703483550918
"per.children",-0.00698196244212917,-0.0181655933812707,-0.0251655629139073,-0.024,-0.0240202275600506,-0.0244740231859167,1,-0.0347256062188189,-0.0172938758980666,-0.030031612223393,-0.0279001468428781,-0.024390243902439,-0.0366548742138365,-0.0239294710327456,0.0580966251286656,-0.0244006849315068,-0.0357963931253062
"per.employee_or_member_of",-0.216882478857424,-0.519327681145269,-0.15076608784474,-0.355245759189996,-0.548342413888632,-0.454421958270926,-0.53855150697256,1,0.629943256219991,-0.363180532595837,-0.451421800947867,-0.473899578363453,0.111538461538462,0.217986243988209,-0.510115047080028,-0.303496563416142,0.827652438508753
"per.founded_org",-0.0610086891269363,-0.0589849884689936,-0.0536531034233825,0.128828390860476,-0.0634573304157549,-0.0255147892001719,-0.0439931930740291,0.103327796551922,1,-0.0775333208374916,-0.0709355828220859,-0.0644730991551801,-0.0904214217784118,-0.0632083696599826,-0.0636523266022827,-0.0645017793594306,0.13524811218986
"per.origin",-0.287821356324999,-0.294970501219744,-0.0606231977726956,-0.230003112356054,-0.270034843205575,-0.259875556570385,-0.287144362486828,-0.223906550073225,-0.291418343837468,1,0.884736016727653,-0.166299593004963,0.318346088435374,-0.287750791974657,-0.290202342917998,-0.256567553785021,-0.225933687847207
"per.place_of_birth",-0.328333904772536,-0.190079391745946,-0.127007562326709,-0.196850393700787,-0.197044334975369,-0.190271854775338,-0.195790504160548,-0.204263258347451,-0.195684366405754,0.649347535212956,1,-0.129245283018868,0.175363494352319,-0.175988428158149,-0.197726149283243,-0.188884410240066,-0.216808191786163
"per.place_of_death",-0.0211629705424472,-0.0474697716077026,-0.0224415426662618,-0.0455717970765262,0.751727868261314,-0.0368567187367806,-0.0453572956782199,-0.0568250625639435,-0.0471320586927523,-0.0323445079972956,-0.03425,1,-0.0118925976385104,-0.045435062151736,-0.0457488131204143,-0.0361169204627149,-0.0516470988376082
"per.places_of_residence",0.0462535723168918,-0.684400036006841,0.151988437689403,-0.550773154790371,-0.653061224489796,-0.594235413831574,-0.617345249917246,0.121127741037243,-0.598652171774313,0.560756412656806,0.420872386445566,-0.107706544650661,1,-0.341731763670371,-0.656185919343814,-0.569710273879187,0.134928189182901
"per.schools_attended",-0.005314247036513,-0.0267778753292362,-0.00212813453381948,-0.0257275411218895,-0.0257492612916843,-0.0262365591397849,-0.0256087321578505,0.0150420371982814,-0.0265911072362685,-0.0322069693769799,-0.0268382352941176,-0.0261465923703386,-0.0217142058165548,1,-0.0258255715495343,-0.0261578044596913,-0.0152318461305724
"per.spouse",-0.00357440558885405,-0.0202933301143472,-0.0342984409799555,-0.0326963906581741,-0.0327241818954526,-0.0238399027872712,0.0784814058755658,-0.0444330979922649,-0.033801580333626,-0.0410010649627263,-0.0380622837370242,-0.0332326283987915,-0.0526315789473684,-0.0325994919559695,1,-0.0332469775474957,-0.049634688290641
"per.title",0.0165313427015584,0.131411296755772,-0.0483069977426637,-0.0460215053763441,-0.0460611278519156,0.0203450445887246,-0.0458047945205479,-0.0367354437619086,-0.0475978647686833,-0.0503719784495363,-0.0505265797392176,-0.0364576461274575,-0.063498957609451,-0.0458833619210978,-0.0462003454231434,1,-0.0302027888079646
"per.top_member_employee_of_org",-0.227588189815114,-0.554010166928198,-0.0870786516853933,-0.344715194785038,-0.592610182370821,-0.466511516887457,-0.582162393458928,0.867911550336668,0.864655172413793,-0.384294547952956,-0.502452984464432,-0.451668496438328,0.130290032679739,-0.231474120705584,-0.597550078512002,-0.2616634133176,1
